source: wordCount:4, stream: default, id: {}, [english, 1]
source: wordCount:3, stream: default, id: {}, [with, 3]
source: wordCount:3, stream: default, id: {}, [adventures, 3]
source: wordCount:4, stream: default, id: {}, [man, 1]
source: wordCount:4, stream: default, id: {}, [mystery, 1]
source: wordCount:3, stream: default, id: {}, [holmes, 1]
source: wordCount:4, stream: default, id: {}, [the, 6]
source: wordCount:3, stream: default, id: {}, [the, 4]
source: wordCount:4, stream: default, id: {}, [twisted, 1]
source: wordCount:4, stream: default, id: {}, [of, 2]
source: wordCount:3, stream: default, id: {}, [ix, 1]
source: wordCount:3, stream: default, id: {}, [i, 1]
source: wordCount:3, stream: default, id: {}, [adventure, 1]
source: wordCount:4, stream: default, id: {}, [sherlock, 3]
source: wordCount:4, stream: default, id: {}, [lip, 1]
source: wordCount:3, stream: default, id: {}, [of, 7]
source: wordCount:3, stream: default, id: {}, [engineer, 1]
source: wordCount:4, stream: default, id: {}, [a, 1]
source: wordCount:4, stream: default, id: {}, [the, 7]
source: wordCount:3, stream: default, id: {}, [in, 1]
source: wordCount:4, stream: default, id: {}, [s, 1]
source: wordCount:3, stream: default, id: {}, [bohemia, 1]
source: wordCount:4, stream: default, id: {}, [the, 8]
source: wordCount:3, stream: default, id: {}, [adventure, 2]
source: wordCount:3, stream: default, id: {}, [of, 8]
source: wordCount:4, stream: default, id: {}, [thumb, 1]
source: wordCount:3, stream: default, id: {}, [x, 1]
source: wordCount:3, stream: default, id: {}, [noble, 1]
source: wordCount:4, stream: default, id: {}, [scandal, 1]
source: wordCount:3, stream: default, id: {}, [i, 2]
source: wordCount:3, stream: default, id: {}, [the, 5]
source: wordCount:4, stream: default, id: {}, [the, 9]
source: wordCount:4, stream: default, id: {}, [ii, 1]
source: wordCount:3, stream: default, id: {}, [scandal, 1]
source: wordCount:3, stream: default, id: {}, [league, 1]
source: wordCount:3, stream: default, id: {}, [bohemia, 2]
source: wordCount:3, stream: default, id: {}, [the, 6]
source: wordCount:4, stream: default, id: {}, [the, 10]
source: wordCount:3, stream: default, id: {}, [orange, 1]
source: wordCount:3, stream: default, id: {}, [the, 7]
source: wordCount:4, stream: default, id: {}, [red, 1]
source: wordCount:4, stream: default, id: {}, [bachelor, 1]
source: wordCount:3, stream: default, id: {}, [vii, 1]
source: wordCount:4, stream: default, id: {}, [adventure, 1]
source: wordCount:4, stream: default, id: {}, [headed, 1]
source: wordCount:3, stream: default, id: {}, [the, 8]
source: wordCount:3, stream: default, id: {}, [to, 1]
source: wordCount:4, stream: default, id: {}, [a, 2]
source: wordCount:4, stream: default, id: {}, [v, 1]
source: wordCount:3, stream: default, id: {}, [carbuncle, 1]
source: wordCount:3, stream: default, id: {}, [sherlock, 2]
source: wordCount:4, stream: default, id: {}, [in, 1]
source: wordCount:3, stream: default, id: {}, [of, 9]
source: wordCount:4, stream: default, id: {}, [five, 1]
source: wordCount:4, stream: default, id: {}, [adventure, 2]
source: wordCount:4, stream: default, id: {}, [pips, 1]
source: wordCount:3, stream: default, id: {}, [always, 1]
source: wordCount:3, stream: default, id: {}, [she, 1]
source: wordCount:3, stream: default, id: {}, [woman, 1]
source: wordCount:4, stream: default, id: {}, [blue, 1]
source: wordCount:3, stream: default, id: {}, [the, 9]
source: wordCount:4, stream: default, id: {}, [i, 1]
source: wordCount:4, stream: default, id: {}, [holmes, 4]
source: wordCount:3, stream: default, id: {}, [the, 10]
source: wordCount:3, stream: default, id: {}, [seldom, 1]
source: wordCount:3, stream: default, id: {}, [xi, 1]
source: wordCount:3, stream: default, id: {}, [the, 12]
source: wordCount:4, stream: default, id: {}, [of, 3]
source: wordCount:3, stream: default, id: {}, [the, 11]
source: wordCount:4, stream: default, id: {}, [adventure, 3]
source: wordCount:4, stream: default, id: {}, [viii, 1]
source: wordCount:3, stream: default, id: {}, [predominates, 1]
source: wordCount:4, stream: default, id: {}, [is, 1]
source: wordCount:4, stream: default, id: {}, [speckled, 1]
source: wordCount:3, stream: default, id: {}, [the, 13]
source: wordCount:3, stream: default, id: {}, [coronet, 1]
source: wordCount:3, stream: default, id: {}, [of, 10]
source: wordCount:3, stream: default, id: {}, [and, 1]
source: wordCount:4, stream: default, id: {}, [i, 2]
source: wordCount:4, stream: default, id: {}, [band, 1]
